MSA.Code,MSA.Name,Median Earnings: Men,Median Earnings: Women,Employment: Men,Employment: Women,Employment: Total,Earnings Difference (Women vs. Men),Earnings Percentage (Women vs. Men),Employment Difference (Women vs. Men),Employment Percentage (Women vs. Total),Group
17740,"Coldwater, MI",51219,76023,85,49,134,-24804,1.484273414,36,0.365671642,Computer and Mathematical
17740,"Coldwater, MI",80625,41250,220,39,259,39375,0.511627907,181,0.150579151,Architecture and Engineering
17740,"Coldwater, MI",80833,77917,20,21,41,2916,0.963925624,-1,0.512195122,"Life, Physical, and Social Sciences"
17780,"College Station-Bryan, TX",48698,37733,45522,34052,79574,10965,0.774836749,11470,0.42792872,All (STEM and Non-STEM)
17780,"College Station-Bryan, TX",68603,51147,3720,1681,5401,17456,0.745550486,2039,0.31123866,All STEM
17780,"College Station-Bryan, TX",69926,53469,1808,635,2443,16457,0.764651203,1173,0.25992632,Computer and Mathematical
17780,"College Station-Bryan, TX",74583,82931,990,218,1208,-8348,1.111928992,772,0.180463576,Architecture and Engineering
17780,"College Station-Bryan, TX",53782,38585,922,828,1750,15197,0.717433342,94,0.473142857,"Life, Physical, and Social Sciences"
17820,"Colorado Springs, CO",53850,42922,135443,94628,230071,10928,0.797065924,40815,0.411299121,All (STEM and Non-STEM)
17820,"Colorado Springs, CO",95022,74238,18923,4415,23338,20784,0.781271705,14508,0.18917645,All STEM
17820,"Colorado Springs, CO",94260,76096,12314,2713,15027,18164,0.80729896,9601,0.180541692,Computer and Mathematical
17820,"Colorado Springs, CO",99440,73261,5555,1034,6589,26179,0.73673572,4521,0.156928214,Architecture and Engineering
17820,"Colorado Springs, CO",80183,61071,1054,668,1722,19112,0.761645237,386,0.387921022,"Life, Physical, and Social Sciences"
17860,"Columbia, MO",47289,39766,37903,33103,71006,7523,0.840914378,4800,0.466200039,All (STEM and Non-STEM)
17860,"Columbia, MO",62904,55714,3566,1822,5388,7190,0.885698843,1744,0.338158872,All STEM
